"BillNo","Itemname","Quantity","Date","Price","CustomerID","Country","YearMonth","PurchaseCategory"
"536371","PAPER CHAIN KIT 50'S CHRISTMAS",80,2010-12-01,2.55,13748,"United Kingdom","2010-12","Bulk"
"536374","VICTORIAN SEWING BOX LARGE",32,2010-12-01,10.95,15100,"United Kingdom","2010-12","Bulk"
"536376","HOT WATER BOTTLE TEA AND SYMPATHY",48,2010-12-01,3.45,15291,"United Kingdom","2010-12","Bulk"
"536376","RED HANGING HEART T-LIGHT HOLDER",64,2010-12-01,2.55,15291,"United Kingdom","2010-12","Bulk"
"536380","JAM MAKING SET PRINTED",24,2010-12-01,1.45,17809,"United Kingdom","2010-12","Bulk"
"536386","WHITE WIRE EGG HOLDER",36,2010-12-01,4.95,16029,"United Kingdom","2010-12","Bulk"
"536386","JUMBO  BAG BAROQUE BLACK WHITE",100,2010-12-01,1.65,16029,"United Kingdom","2010-12","Bulk"
"536386","JUMBO BAG RED RETROSPOT",100,2010-12-01,1.65,16029,"United Kingdom","2010-12","Bulk"
"536387","CHILLI LIGHTS",192,2010-12-01,3.82,16029,"United Kingdom","2010-12","Bulk"
"536387","LIGHT GARLAND BUTTERFILES PINK",192,2010-12-01,3.37,16029,"United Kingdom","2010-12","Bulk"
"536387","WOODEN OWLS LIGHT GARLAND",192,2010-12-01,3.37,16029,"United Kingdom","2010-12","Bulk"
"536387","FAIRY TALE COTTAGE NIGHTLIGHT",432,2010-12-01,1.45,16029,"United Kingdom","2010-12","Bulk"
"536387","RED TOADSTOOL LED NIGHT LIGHT",432,2010-12-01,1.25,16029,"United Kingdom","2010-12","Bulk"
"536402","PAPER CHAIN KIT 50'S CHRISTMAS",40,2010-12-01,2.55,15513,"United Kingdom","2010-12","Bulk"
"536402","PAPER CHAIN KIT VINTAGE CHRISTMAS",40,2010-12-01,2.55,15513,"United Kingdom","2010-12","Bulk"
"536402","HOT WATER BOTTLE BABUSHKA",36,2010-12-01,4.25,15513,"United Kingdom","2010-12","Bulk"
"536405","SET/5 RED RETROSPOT LID GLASS BOWLS",128,2010-12-01,2.55,14045,"United Kingdom","2010-12","Bulk"
"536437","RED RETROSPOT OVEN GLOVE",200,2010-12-01,1.06,13694,"United Kingdom","2010-12","Bulk"
"536437","CREAM HEART CARD HOLDER",72,2010-12-01,3.39,13694,"United Kingdom","2010-12","Bulk"
"536437","NAMASTE SWAGAT INCENSE",600,2010-12-01,0.24,13694,"United Kingdom","2010-12","Bulk"
"536437","CERAMIC STRAWBERRY DESIGN MUG",48,2010-12-01,1.25,13694,"United Kingdom","2010-12","Bulk"
"536437","BLACK HEART CARD HOLDER",36,2010-12-01,3.39,13694,"United Kingdom","2010-12","Bulk"
"536437","CLASSICAL ROSE SMALL VASE",48,2010-12-01,1.25,13694,"United Kingdom","2010-12","Bulk"
"536508","ANTIQUE SILVER TEA GLASS ENGRAVED",72,2010-12-01,1.06,17181,"United Kingdom","2010-12","Bulk"
"536508","AGED GLASS SILVER T-LIGHT HOLDER",144,2010-12-01,0.55,17181,"United Kingdom","2010-12","Bulk"
"536575","UNION JACK FLAG PASSPORT COVER",72,2010-12-01,1.69,13777,"United Kingdom","2010-12","Bulk"
"536575","CREAM SLICE FLANNEL PINK SPOT",72,2010-12-01,2.55,13777,"United Kingdom","2010-12","Bulk"
"536575","STRAWBERRY CERAMIC TRINKET BOX",144,2010-12-01,1.25,13777,"United Kingdom","2010-12","Bulk"
"536575","PINK HEART SHAPE EGG FRYING PAN",72,2010-12-01,1.25,13777,"United Kingdom","2010-12","Bulk"
"536575","JUMBO BAG RED RETROSPOT",70,2010-12-01,1.65,13777,"United Kingdom","2010-12","Bulk"
"536575","WHITE HANGING HEART T-LIGHT HOLDER",128,2010-12-01,2.55,13777,"United Kingdom","2010-12","Bulk"
"536575","EDWARDIAN PARASOL PINK",48,2010-12-01,4.6,13777,"United Kingdom","2010-12","Bulk"
"536575","LADS ONLY TISSUE BOX",252,2010-12-01,1.25,13777,"United Kingdom","2010-12","Bulk"
