Transaction Date,Customer ID,Product Description
01/01/2014,1249,citrus fruit
01/01/2014,1249,coffee
01/01/2014,1249,italian sausage
01/01/2014,1249,sausage
01/01/2014,1381,curd
01/01/2014,1381,soda
01/01/2014,1440,med milk
01/01/2014,1440,other vegetables
01/01/2014,1440,delete
01/01/2014,1440,yogurt
01/01/2014,1659,frozen vegetables
01/01/2014,1659,specialty chocolate
01/01/2014,1789,candles
01/01/2014,1789,hamburger meat
01/01/2014,1922,other vegetables
01/01/2014,1922,tropical fruit
01/01/2014,2226,bottled water
01/01/2014,2226,sausage
01/01/2014,2237,bottled water
01/01/2014,2237,Instant food products
01/01/2014,2351,cleaner
01/01/2014,2351,shopping bags
01/01/2014,2542,bottled water
01/01/2014,2542,sliced cheese
01/01/2014,2610,bottled beer
01/01/2014,2610,domestic eggs
01/01/2014,2610,hamburger meat
01/01/2014,2709,frozen vegetables
01/01/2014,2709,yogurt
01/01/2014,2727,frozen potato products
01/01/2014,2727,hamburger meat
01/01/2014,2943,flower (seeds)
01/01/2014,2943,small milk
01/01/2014,2943,yogurt
01/01/2014,2974,berries
01/01/2014,2974,bottled water
01/01/2014,2974,whipped/sour cream
01/01/2014,3681,dishes
01/01/2014,3681,onions
01/01/2014,3681,salad dressing
01/01/2014,3681,whipped/sour cream
01/01/2014,3797,herbs
01/01/2014,3797,med milk
01/01/2014,3797,waffles
01/01/2014,3942,Instant food products
01/01/2014,3942,other vegetables
01/01/2014,3942,yogurt
01/01/2014,3956,chocolate
01/01/2014,3956,shopping bags
01/01/2014,3956,waffles
01/01/2014,3956,yogurt
01/01/2014,4260,brown bread
01/01/2014,4260,soda
01/01/2014,4942,butter
01/01/2014,4942,frozen vegetables
02/01/2014,1175,hamburger meat
02/01/2014,1175,other vegetables
02/01/2014,1809,hard cheese
02/01/2014,1809,root vegetables
02/01/2014,1809,waffles
02/01/2014,1878,dessert
02/01/2014,1878,root vegetables
02/01/2014,1965,chewing gum
02/01/2014,1965,rolls/buns
02/01/2014,1965,soda
02/01/2014,1965,yogurt
02/01/2014,2202,coffee
02/01/2014,2202,sauces
02/01/2014,2475,dishes
02/01/2014,2475,roll products 
02/01/2014,2690,grapes
02/01/2014,2690,rolls/buns
02/01/2014,2690,soda
02/01/2014,2717,fruit/vegetable juice
02/01/2014,2755,beef
02/01/2014,2755,fruit/vegetable juice
02/01/2014,2755,med milk
02/01/2014,3107,rolls/buns
02/01/2014,3107,small milk
02/01/2014,3120,beef
02/01/2014,3120,newspapers
02/01/2014,3120,small milk
02/01/2014,3156,other vegetables
02/01/2014,3156,salad dressing
02/01/2014,3156,soda
02/01/2014,3156,whipped/sour cream
02/01/2014,3220,canned beer
02/01/2014,3220,salty snack
02/01/2014,3243,pot plants
02/01/2014,3243,small milk
02/01/2014,3663,frozen vegetables
02/01/2014,3663,roll products 
02/01/2014,3663,rolls/buns
02/01/2014,3758,domestic eggs
02/01/2014,3758,rolls/buns
02/01/2014,3805,semi-finished bread
02/01/2014,3805,white bread
02/01/2014,4140,curd
02/01/2014,4140,newspapers
02/01/2014,4247,butter
02/01/2014,4247,soda
02/01/2014,4255,italian sausage
02/01/2014,4255,margarine
02/01/2014,4316,candy
02/01/2014,4316,tropical fruit
02/01/2014,4527,brown bread
02/01/2014,4527,curd
02/01/2014,4527,small milk
02/01/2014,4527,yogurt
02/01/2014,4548,other vegetables
02/01/2014,4548,UHT-milk
02/01/2014,4746,margarine
02/01/2014,4746,newspapers
02/01/2014,4887,herbs
02/01/2014,4887,long life bakery product
02/01/2014,4887,other vegetables
02/01/2014,4887,salad dressing
02/01/2014,4887,soap
03/01/2014,1241,cereals
03/01/2014,1241,margarine
03/01/2014,1241,med milk
03/01/2014,1241,oil
03/01/2014,1335,dishes
03/01/2014,1335,domestic eggs
03/01/2014,1335,oil
03/01/2014,1335,waffles
03/01/2014,1339,margarine
03/01/2014,1339,other vegetables
03/01/2014,1362,mustard
03/01/2014,1362,tropical fruit
03/01/2014,1483,dessert
03/01/2014,1483,pastry
03/01/2014,1658,citrus fruit
03/01/2014,1658,flour
03/01/2014,1658,rolls/buns
03/01/2014,1658,soda
03/01/2014,1764,honey
03/01/2014,1764,salty snack
03/01/2014,1864,butter
03/01/2014,1864,oil
03/01/2014,2085,domestic eggs
03/01/2014,2085,soda
03/01/2014,2279,curd
03/01/2014,2279,long life bakery product
03/01/2014,2279,pot plants
03/01/2014,2279,soda
03/01/2014,2514,med milk
03/01/2014,2514,soda
03/01/2014,2595,chewing gum
03/01/2014,2595,rolls/buns
03/01/2014,2602,italian sausage
03/01/2014,2602,med milk
03/01/2014,2602,other vegetables
03/01/2014,2602,root vegetables
03/01/2014,2935,processed cheese
03/01/2014,2935,rolls/buns
03/01/2014,3517,brown bread
03/01/2014,3517,curd
03/01/2014,3737,instant coffee
03/01/2014,3737,shopping bags
03/01/2014,3746,butter
03/01/2014,3746,meat spreads
03/01/2014,3746,other vegetables
03/01/2014,3746,salad dressing
03/01/2014,4146,dessert
03/01/2014,4146,root vegetables
03/01/2014,4625,whipped/sour cream
03/01/2014,4625,white bread
03/01/2014,4664,beef
03/01/2014,4664,rolls/buns
03/01/2014,4822,ice cream
03/01/2014,4822,yogurt
04/01/2014,1052,beef
04/01/2014,1052,shopping bags
04/01/2014,1169,bottled water
04/01/2014,1169,liquor
04/01/2014,1169,other vegetables
04/01/2014,1169,salad dressing
04/01/2014,1852,chocolate
04/01/2014,1852,tropical fruit
04/01/2014,1948,italian sausage
04/01/2014,1948,other vegetables
04/01/2014,1948,sausage
04/01/2014,2361,light bulbs
04/01/2014,2361,whipped/sour cream
04/01/2014,2733,red/blush wine
04/01/2014,2733,soda
04/01/2014,2847,margarine
04/01/2014,2847,soups
04/01/2014,2965,cat food
04/01/2014,2965,dessert
04/01/2014,2965,salty snack
04/01/2014,2965,white bread
04/01/2014,3028,butter
04/01/2014,3028,white bread
04/01/2014,3141,frozen vegetables
04/01/2014,3141,napkins
04/01/2014,3141,other vegetables
04/01/2014,3284,instant coffee
04/01/2014,3284,other vegetables
04/01/2014,3284,yogurt
04/01/2014,3398,cat food
04/01/2014,3398,chocolate
04/01/2014,3621,citrus fruit
04/01/2014,3621,cling film/bags
04/01/2014,3621,ham
04/01/2014,3848,brown bread
04/01/2014,3848,chocolate marshmallow
04/01/2014,4310,bottled water
04/01/2014,4310,candy
04/01/2014,4465,frozen potato products
04/01/2014,4465,specialty chocolate
04/01/2014,4830,ice cream
04/01/2014,4830,soda
05/01/2014,1415,fruit/vegetable juice
05/01/2014,1415,sausage
05/01/2014,1891,hygiene articles
05/01/2014,1891,white bread
05/01/2014,1969,cat food
05/01/2014,1969,fruit/vegetable juice
05/01/2014,1969,jam
05/01/2014,1969,other vegetables
05/01/2014,2047,cat food
05/01/2014,2047,tropical fruit
05/01/2014,2129,berries
05/01/2014,2129,coffee
05/01/2014,2129,herbs
05/01/2014,2174,bottled water
05/01/2014,2174,brown bread
05/01/2014,2174,domestic eggs
05/01/2014,2193,bottled beer
05/01/2014,2193,med milk
05/01/2014,2238,curd
05/01/2014,2238,med milk
05/01/2014,2238,pastry
05/01/2014,2269,hamburger meat
05/01/2014,2269,sliced cheese
05/01/2014,2618,bottled water
05/01/2014,2618,flower (seeds)
05/01/2014,2618,fish
05/01/2014,2618,small milk
05/01/2014,2618,specialty chocolate
05/01/2014,2618,whipped/sour cream
05/01/2014,2725,baking powder
05/01/2014,2725,med milk
